split point, sample size, kernel, penalty param, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall,cv1,,,,,,,,
0.2,100,poly,8,10,0.000756979,0.000313997,0.00012207,0,0.2,0,0.2,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
0.2,100,poly,8,100,0.001026154,0.000335932,0.00012207,0,0.2,0,0.2,1,1,1.00.666666666667,0.666666667,0.666666667,1,1,1,1,1,0,1
0.4,100,linear,1,0.1,0.001021147,0.000255108,0.000161886,0.05,0.1,0.05,0.1,0.95,0.916666667,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,1,10,0.000680923,0.000228167,0.000159979,0.05,0.1,0.05,0.1,0.95,0.916666667,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,1,100,0.000770807,0.000244141,0.000159025,0.05,0.1,0.05,0.1,0.95,0.916666667,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,2,0.1,0.001332045,0.000460863,0.000257015,0.05,0.15,0.05,0.15,0.95,0.916666667,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,2,10,0.000735044,0.000227928,0.000159979,0.05,0.15,0.05,0.15,0.95,0.916666667,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,2,100,0.000731945,0.000226021,0.000157833,0.05,0.15,0.05,0.15,0.95,0.916666667,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,4,0.1,0.001302004,0.000466108,0.000197887,0.033333333,0.125,0.033333333,0.125,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,4,10,0.00072813,0.000228882,0.000159979,0.033333333,0.125,0.033333333,0.125,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,4,100,0.000725031,0.000229836,0.000159979,0.033333333,0.125,0.033333333,0.125,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,8,0.1,0.001312017,0.000427008,0.000216961,0.033333333,0.15,0.033333333,0.15,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,8,10,0.001470804,0.000275135,0.000157833,0.033333333,0.15,0.033333333,0.15,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,linear,8,100,0.000914812,0.000221252,0.000154734,0.033333333,0.15,0.033333333,0.15,0.966666667,1,0.8461538461541.0,0.8,0.8,0.6,0.75,1,1,1,1,1
0.4,100,rbf,1,0.1,0.000698805,0.000357151,0.000221729,0.1,0.1,0.1,0.1,0.9,1,0.5384615384620.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,1,10,0.000687122,0.00029397,0.000205994,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,1,100,0.000605106,0.000271082,0.000185013,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,2,0.1,0.000644922,0.000272989,0.000190973,0.016666667,0.075,0.016666667,0.075,0.983333333,1,0.9230769230770.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,2,10,0.000720263,0.000292778,0.000204086,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,2,100,0.000681162,0.000272989,0.000185966,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,4,0.1,0.000657082,0.00027585,0.000192165,0.016666667,0.125,0.016666667,0.125,0.983333333,1,0.9230769230770.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,4,10,0.000846863,0.000309944,0.000218153,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
0.4,100,rbf,4,100,0.000631094,0.000274181,0.000188351,0,0.1,0,0.1,1,1,1.00.8,0.8,0.8,0.8,1,1,1,1,1,1
