sample size, kernel, C, gamma, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
100,1,1,0.1,0.000812769,0.000203848,0.000105858,0.05,0.15,0.05,0.15,0.95,0.923076923,0.8
100,1,1,0.01,0.000641108,0.000146866,7.18E-05,0.05,0.15,0.05,0.15,0.95,0.923076923,0.8
100,1,1,0.001,0.000899076,0.000358105,0.000224113,0.05,0.15,0.05,0.15,0.95,0.923076923,0.8
100,1,1,0.0001,0.000960112,0.000213146,8.08E-05,0.05,0.15,0.05,0.15,0.95,0.923076923,0.8
100,1,2,0.1,0.001718998,0.000247955,9.18E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,2,0.01,0.00114584,0.000138044,7.08E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,2,0.001,0.001364231,0.00015974,7.22E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,2,0.0001,0.001296043,0.000165701,8.30E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,4,0.1,0.000692129,0.000132084,6.99E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,4,0.01,0.000664949,0.000133991,7.01E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,4,0.001,0.000687122,0.000144243,7.89E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,4,0.0001,0.000701189,0.000132799,7.10E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,8,0.1,0.000977755,0.000165939,0.001182079,0.05,0.15,0.05,0.15,0.95,0.866666667,0.866666667
100,1,8,0.01,0.001764059,0.000324965,0.000130892,0.05,0.15,0.05,0.15,0.95,0.866666667,0.866666667
100,1,8,0.001,0.001599073,0.000206947,0.000105143,0.05,0.15,0.05,0.15,0.95,0.866666667,0.866666667
100,1,8,0.0001,0.001369953,0.000247002,0.000128031,0.05,0.15,0.05,0.15,0.95,0.866666667,0.866666667
100,1,16,0.1,0.001477957,0.000151157,7.99E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,16,0.01,0.001486778,0.000149012,7.30E-05,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,16,0.001,0.001757145,0.000747919,0.000188828,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,1,16,0.0001,0.003026962,0.000357866,0.000164747,0.0375,0.15,0.0375,0.15,0.9625,0.928571429,0.866666667
100,2,1,0.1,0.001014233,0.000413895,0.000255108,0.0625,0.1,0.0625,0.1,0.9375,1,0.666666667
100,2,1,0.01,0.000719786,0.000316858,0.000168324,0.15,0.05,0.15,0.05,0.85,1,0.2
100,2,1,0.001,0.001291037,0.000404835,0.000205994,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,2,1,0.0001,0.000833035,0.000365019,0.000166893,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,2,2,0.1,0.001612663,0.000383139,0.000209093,0.025,0.1,0.025,0.1,0.975,1,0.866666667
100,2,2,0.01,0.000998974,0.000452042,0.000173807,0.1375,0.05,0.1375,0.05,0.8625,0.833333333,0.333333333
100,2,2,0.001,0.001345158,0.000364065,0.000236034,0.1875,0.1,0.1875,0.1,0.8125,0,0
100,2,2,0.0001,0.000905037,0.000358105,0.000139713,0.1875,0.1,0.1875,0.1,0.8125,0,0
