sample size, layer size,node size, activation, solver, fit time, train time, test time, train mse, test mse, train mae, test mae, accuracy, precision, recall
8000,5,500,relu,lbfgs,483.8789411,0.940792084,0.247622013,0,0.129375,0,0.129375,1,1,1
45212,2,500,logistic,lbfgs,476.3278708,0.94316721,0.243519306,0.099753933,0.099635077,0.099753933,0.099635077,0.900246067,0.63153457,0.353969754
8000,3,500,relu,sgd,466.7777128,0.48297596,0.079432964,0.09578125,0.091875,0.09578125,0.091875,0.90421875,0.658174098,0.406824147
8000,3,500,relu,sgd,461.2252259,0.446541071,0.112715721,0.094375,0.09375,0.094375,0.09375,0.905625,0.672489083,0.404199475
45212,2,500,relu,sgd,451.4909739,0.883498907,0.226383924,0.093726672,0.0949906,0.093726672,0.0949906,0.906273328,0.664196568,0.402410208
30000,5,500,relu,adam,445.8519208,1.891012907,0.540370941,0.012875,0.112333333,0.012875,0.112333333,0.987125,0.949516649,0.940425532
45212,2,500,relu,lbfgs,438.268177,0.829679251,0.212095976,0.035168238,0.11014044,0.035168238,0.11014044,0.964831762,0.882428941,0.80694707
45212,3,500,tanh,adam,436.976609,1.836893797,0.479609728,0.003317758,0.109919275,0.003317758,0.109919275,0.996682242,0.981950305,0.989839319
5000,5,500,tanh,sgd,428.9181502,0.709131002,0.192116022,0.102,0.102,0.102,0.102,0.898,0.611111111,0.372881356
45212,3,500,tanh,adam,424.1278312,1.837135077,0.474030018,0.004700158,0.106270043,0.004700158,0.106270043,0.995299842,0.988221154,0.971408318
30000,3,500,tanh,adam,404.4524679,1.611586094,0.465178013,0.003,0.105666667,0.003,0.105666667,0.997,0.988620199,0.985815603
30000,2,500,relu,sgd,385.34286,0.63136816,0.152109861,0.094041667,0.0975,0.094041667,0.0975,0.905958333,0.666469545,0.39964539
10000,3,500,tanh,lbfgs,380.066577,0.849563122,0.230602026,0.000625,0.118,0.000625,0.118,0.999375,0.995767196,0.998938429
3000,5,500,relu,sgd,375.4883471,0.530054092,0.174335957,0.097916667,0.11,0.097916667,0.11,0.902083333,0.651282051,0.431972789
10000,3,500,tanh,lbfgs,366.7594948,0.735497952,0.19195509,0.0015,0.124,0.0015,0.124,0.9985,0.996794872,0.99044586
45212,2,500,logistic,sgd,355.3137369,0.999351978,0.246209145,0.102988747,0.101072653,0.102988747,0.101072653,0.897011253,0.631551635,0.287570888
30000,3,500,tanh,sgd,345.8579557,1.203971148,0.304092884,0.0995,0.098666667,0.0995,0.098666667,0.9005,0.621484814,0.391843972
5000,5,500,tanh,lbfgs,340.9942331,0.615033865,0.1873281,0,0.113,0,0.113,1,1,1
3000,5,500,tanh,sgd,340.9801652,0.674537182,0.181814671,0.107916667,0.11,0.107916667,0.11,0.892083333,0.611464968,0.326530612
10000,3,500,relu,lbfgs,332.8717051,0.637152672,0.220844984,0,0.1225,0,0.1225,1,1,1
10000,3,500,relu,lbfgs,331.7197969,0.64168191,0.126494169,0,0.1235,0,0.1235,1,1,1
30000,2,500,tanh,lbfgs,316.2994218,0.708669186,0.199235916,0.05775,0.1,0.05775,0.1,0.94225,0.803043111,0.673758865
500,5,500,relu,lbfgs,315.1559491,0.058281898,0.012680769,0,0.15,0,0.15,1,1,1
45212,2,500,tanh,sgd,310.3379362,1.0521667,0.26851511,0.098952141,0.097865753,0.098952141,0.097865753,0.901047859,0.645693887,0.341918715
10000,5,500,tanh,adam,303.3429389,1.629156113,0.455133915,0.012375,0.116,0.012375,0.116,0.987625,0.944151739,0.951167728
45212,3,500,relu,adam,301.8978629,1.211635828,0.289034843,0.011639802,0.113679089,0.011639802,0.113679089,0.988360198,0.952720361,0.947542533
8000,3,500,tanh,lbfgs,301.6990709,0.704375982,0.185722828,0,0.130625,0,0.130625,1,1,1
5000,3,500,relu,sgd,295.4377232,0.273394108,0.052595139,0.098,0.099,0.098,0.099,0.902,0.627388535,0.417372881
30000,2,500,relu,lbfgs,295.3332522,0.559164047,0.164586067,0.013708333,0.115,0.013708333,0.115,0.986291667,0.960443623,0.921276596
10000,2,500,tanh,adam,290.304018,0.574945927,0.090387821,0.000125,0.118,0.000125,0.118,0.999875,0.998939555,1
30000,3,500,tanh,adam,289.9326301,2.299909115,0.543314934,0.002958333,0.108333333,0.002958333,0.108333333,0.997041667,0.985174726,0.989716312
8000,3,500,logistic,lbfgs,285.7428529,0.643776894,0.199605942,0.1040625,0.088125,0.1040625,0.088125,0.8959375,0.617073171,0.332020997
10000,3,500,tanh,adam,282.0023668,0.859683275,0.31517601,0.00075,0.116,0.00075,0.116,0.99925,0.99787234,0.995753715
5000,3,500,relu,sgd,280.6995819,0.395757198,0.056124926,0.09625,0.099,0.09625,0.099,0.90375,0.640776699,0.419491525
10000,2,500,relu,sgd,279.3313408,0.337193966,0.151790142,0.093,0.1035,0.093,0.1035,0.907,0.689655172,0.382165605
45212,3,500,relu,adam,274.743479,1.327334881,0.294095993,0.012552186,0.115448413,0.012552186,0.115448413,0.987447814,0.961858191,0.929584121
8000,3,500,tanh,lbfgs,271.656419,0.674124002,0.22519803,0,0.124375,0,0.124375,1,1,1
30000,3,500,relu,adam,270.878561,1.665647268,0.384001017,0.008333333,0.110333333,0.008333333,0.110333333,0.991666667,0.962570621,0.966666667
10000,5,500,relu,adam,266.6119559,1.150199175,0.35758996,0.01475,0.122,0.01475,0.122,0.98525,0.975750577,0.897027601
8000,3,500,tanh,adam,262.2920811,0.605931997,0.163011074,0.0009375,0.1175,0.0009375,0.1175,0.9990625,0.9921875,1
10000,3,500,tanh,adam,261.9739201,0.817800045,0.214879036,0.000875,0.121,0.000875,0.121,0.999125,0.996811902,0.995753715
